                              P           Q            P           Q            P           Q
                R                  5p-                      5p                       5d-
    65      2.1551E-08    9.7629E-11  1.5871E-06   1.5295E-12 -5.4649E-17   5.4239E-18  1.4696E-13
    66      2.1768E-08    9.9601E-11  1.6031E-06   1.5604E-12 -5.6313E-17   5.5890E-18  1.4993E-13
    67      2.1986E-08    1.0161E-10  1.6192E-06   1.5920E-12 -5.8028E-17   5.7593E-18  1.5296E-13
    68      2.2207E-08    1.0367E-10  1.6355E-06   1.6241E-12 -5.9795E-17   5.9347E-18  1.5605E-13
    69      2.2430E-08    1.0576E-10  1.6519E-06   1.6569E-12 -6.1616E-17   6.1154E-18  1.5920E-13
    70      2.2656E-08    1.0790E-10  1.6685E-06   1.6904E-12 -6.3493E-17   6.3016E-18  1.6241E-13
    71      2.2884E-08    1.1008E-10  1.6853E-06   1.7246E-12 -6.5427E-17   6.4935E-18  1.6569E-13
    72      2.3114E-08    1.1230E-10  1.7022E-06   1.7594E-12 -6.7419E-17   6.6913E-18  1.6904E-13
    73      2.3346E-08    1.1457E-10  1.7193E-06   1.7949E-12 -6.9472E-17   6.8951E-18  1.7246E-13
    74      2.3580E-08    1.1688E-10  1.7366E-06   1.8312E-12 -7.1588E-17   7.1051E-18  1.7594E-13
    75      2.3817E-08    1.1924E-10  1.7541E-06   1.8682E-12 -7.3768E-17   7.3214E-18  1.7949E-13
    76      2.4057E-08    1.2165E-10  1.7717E-06   1.9059E-12 -7.6015E-17   7.5444E-18  1.8312E-13
    77      2.4299E-08    1.2411E-10  1.7895E-06   1.9444E-12 -7.8330E-17   7.7742E-18  1.8682E-13
    78      2.4543E-08    1.2662E-10  1.8075E-06   1.9837E-12 -8.0715E-17   8.0109E-18  1.9059E-13
    79      2.4789E-08    1.2918E-10  1.8257E-06   2.0238E-12 -8.3173E-17   8.2549E-18  1.9444E-13
    80      2.5039E-08    1.3179E-10  1.8440E-06   2.0647E-12 -8.5707E-17   8.5063E-18  1.9837E-13
    81      2.5290E-08    1.3445E-10  1.8625E-06   2.1064E-12 -8.8317E-17   8.7654E-18  2.0238E-13
    82      2.5544E-08    1.3716E-10  1.8813E-06   2.1489E-12 -9.1006E-17   9.0323E-18  2.0647E-13
    83      2.5801E-08    1.3993E-10  1.9002E-06   2.1923E-12 -9.3778E-17   9.3074E-18  2.1064E-13
    84      2.6060E-08    1.4276E-10  1.9193E-06   2.2366E-12 -9.6634E-17   9.5908E-18  2.1489E-13
    85      2.6322E-08    1.4565E-10  1.9385E-06   2.2818E-12 -9.9577E-17   9.8829E-18  2.1924E-13
    86      2.6587E-08    1.4859E-10  1.9580E-06   2.3279E-12 -1.0261E-16   1.0184E-17  2.2366E-13
    87      2.6854E-08    1.5159E-10  1.9777E-06   2.3749E-12 -1.0573E-16   1.0494E-17  2.2818E-13
    88      2.7124E-08    1.5465E-10  1.9976E-06   2.4229E-12 -1.0895E-16   1.0814E-17  2.3279E-13
    89      2.7397E-08    1.5778E-10  2.0177E-06   2.4719E-12 -1.1227E-16   1.1143E-17  2.3749E-13
    90      2.7672E-08    1.6096E-10  2.0379E-06   2.5218E-12 -1.1569E-16   1.1482E-17  2.4229E-13
    91      2.7950E-08    1.6421E-10  2.0584E-06   2.5727E-12 -1.1922E-16   1.1832E-17  2.4719E-13
    92      2.8231E-08    1.6753E-10  2.0791E-06   2.6247E-12 -1.2285E-16   1.2192E-17  2.5218E-13
    93      2.8515E-08    1.7092E-10  2.1000E-06   2.6777E-12 -1.2659E-16   1.2564E-17  2.5727E-13
    94      2.8801E-08    1.7437E-10  2.1211E-06   2.7318E-12 -1.3044E-16   1.2946E-17  2.6247E-13
    95      2.9091E-08    1.7789E-10  2.1424E-06   2.7870E-12 -1.3441E-16   1.3341E-17  2.6777E-13
    96      2.9383E-08    1.8148E-10  2.1640E-06   2.8433E-12 -1.3851E-16   1.3747E-17  2.7318E-13
    97      2.9678E-08    1.8515E-10  2.1857E-06   2.9008E-12 -1.4273E-16   1.4165E-17  2.7870E-13
    98      2.9977E-08    1.8889E-10  2.2077E-06   2.9594E-12 -1.4707E-16   1.4597E-17  2.8433E-13
    99      3.0278E-08    1.9271E-10  2.2299E-06   3.0191E-12 -1.5155E-16   1.5041E-17  2.9008E-13
   100      3.0582E-08    1.9660E-10  2.2523E-06   3.0801E-12 -1.5617E-16   1.5500E-17  2.9594E-13
   101      3.0890E-08    2.0057E-10  2.2749E-06   3.1424E-12 -1.6092E-16   1.5972E-17  3.0191E-13
   102      3.1200E-08    2.0462E-10  2.2978E-06   3.2058E-12 -1.6582E-16   1.6458E-17  3.0801E-13
   103      3.1514E-08    2.0876E-10  2.3209E-06   3.2706E-12 -1.7087E-16   1.6959E-17  3.1424E-13
   104      3.1830E-08    2.1297E-10  2.3442E-06   3.3367E-12 -1.7608E-16   1.7476E-17  3.2058E-13
   105      3.2150E-08    2.1728E-10  2.3677E-06   3.4041E-12 -1.8144E-16   1.8008E-17  3.2706E-13
   106      3.2473E-08    2.2167E-10  2.3915E-06   3.4728E-12 -1.8697E-16   1.8556E-17  3.3367E-13
   107      3.2800E-08    2.2614E-10  2.4156E-06   3.5430E-12 -1.9266E-16   1.9121E-17  3.4041E-13
   108      3.3129E-08    2.3071E-10  2.4399E-06   3.6146E-12 -1.9853E-16   1.9704E-17  3.4728E-13
   109      3.3462E-08    2.3537E-10  2.4644E-06   3.6876E-12 -2.0457E-16   2.0304E-17  3.5430E-13
   110      3.3799E-08    2.4013E-10  2.4891E-06   3.7621E-12 -2.1080E-16   2.0922E-17  3.6146E-13
   111      3.4138E-08    2.4498E-10  2.5142E-06   3.8381E-12 -2.1722E-16   2.1559E-17  3.6876E-13
