#                              P           Q            P           Q
#                R                  5s                       5p-
    94      4.5259E-08    1.7463E-06 -1.6095E-10   2.7702E-11  2.8768E-07
    95      4.5714E-08    1.7639E-06 -1.6420E-10   2.8261E-11  2.9057E-07
    96      4.6173E-08    1.7816E-06 -1.6752E-10   2.8832E-11  2.9349E-07
    97      4.6637E-08    1.7995E-06 -1.7090E-10   2.9415E-11  2.9644E-07
    98      4.7106E-08    1.8176E-06 -1.7435E-10   3.0009E-11  2.9942E-07
    99      4.7580E-08    1.8359E-06 -1.7788E-10   3.0615E-11  3.0243E-07
   100      4.8058E-08    1.8543E-06 -1.8147E-10   3.1234E-11  3.0547E-07
   101      4.8541E-08    1.8730E-06 -1.8513E-10   3.1865E-11  3.0854E-07
   102      4.9029E-08    1.8918E-06 -1.8887E-10   3.2508E-11  3.1164E-07
   103      4.9521E-08    1.9108E-06 -1.9269E-10   3.3165E-11  3.1477E-07
   104      5.0019E-08    1.9300E-06 -1.9658E-10   3.3835E-11  3.1794E-07
   105      5.0522E-08    1.9494E-06 -2.0055E-10   3.4519E-11  3.2113E-07
   106      5.1029E-08    1.9690E-06 -2.0461E-10   3.5216E-11  3.2436E-07
   107      5.1542E-08    1.9888E-06 -2.0874E-10   3.5927E-11  3.2762E-07
   108      5.2060E-08    2.0088E-06 -2.1296E-10   3.6653E-11  3.3091E-07
   109      5.2584E-08    2.0290E-06 -2.1726E-10   3.7394E-11  3.3424E-07
   110      5.3112E-08    2.0494E-06 -2.2165E-10   3.8149E-11  3.3760E-07
   111      5.3646E-08    2.0700E-06 -2.2612E-10   3.8920E-11  3.4099E-07
   112      5.4185E-08    2.0908E-06 -2.3069E-10   3.9706E-11  3.4442E-07
   113      5.4730E-08    2.1118E-06 -2.3535E-10   4.0508E-11  3.4788E-07
   114      5.5280E-08    2.1330E-06 -2.4011E-10   4.1326E-11  3.5137E-07
   115      5.5835E-08    2.1544E-06 -2.4496E-10   4.2161E-11  3.5490E-07
   116      5.6396E-08    2.1761E-06 -2.4991E-10   4.3013E-11  3.5847E-07
   117      5.6963E-08    2.1980E-06 -2.5495E-10   4.3882E-11  3.6207E-07
   118      5.7536E-08    2.2200E-06 -2.6010E-10   4.4768E-11  3.6571E-07
   119      5.8114E-08    2.2424E-06 -2.6536E-10   4.5673E-11  3.6939E-07
   120      5.8698E-08    2.2649E-06 -2.7072E-10   4.6595E-11  3.7310E-07
   121      5.9288E-08    2.2877E-06 -2.7619E-10   4.7537E-11  3.7685E-07
   122      5.9884E-08    2.3106E-06 -2.8177E-10   4.8497E-11  3.8064E-07
   123      6.0485E-08    2.3339E-06 -2.8746E-10   4.9477E-11  3.8446E-07
   124      6.1093E-08    2.3573E-06 -2.9327E-10   5.0476E-11  3.8833E-07
   125      6.1707E-08    2.3810E-06 -2.9919E-10   5.1496E-11  3.9223E-07
   126      6.2328E-08    2.4049E-06 -3.0524E-10   5.2536E-11  3.9617E-07
   127      6.2954E-08    2.4291E-06 -3.1140E-10   5.3597E-11  4.0015E-07
   128      6.3587E-08    2.4535E-06 -3.1769E-10   5.4680E-11  4.0418E-07
   129      6.4226E-08    2.4782E-06 -3.2411E-10   5.5785E-11  4.0824E-07
   130      6.4871E-08    2.5031E-06 -3.3066E-10   5.6912E-11  4.1234E-07
   131      6.5523E-08    2.5282E-06 -3.3734E-10   5.8061E-11  4.1648E-07
   132      6.6182E-08    2.5537E-06 -3.4415E-10   5.9234E-11  4.2067E-07
   133      6.6847E-08    2.5793E-06 -3.5110E-10   6.0431E-11  4.2490E-07
   134      6.7519E-08    2.6052E-06 -3.5820E-10   6.1652E-11  4.2917E-07
   135      6.8197E-08    2.6314E-06 -3.6543E-10   6.2897E-11  4.3348E-07
   136      6.8883E-08    2.6579E-06 -3.7282E-10   6.4168E-11  4.3784E-07
   137      6.9575E-08    2.6846E-06 -3.8035E-10   6.5464E-11  4.4224E-07
   138      7.0274E-08    2.7116E-06 -3.8803E-10   6.6786E-11  4.4668E-07
   139      7.0980E-08    2.7388E-06 -3.9587E-10   6.8136E-11  4.5117E-07
   140      7.1694E-08    2.7663E-06 -4.0387E-10   6.9512E-11  4.5571E-07
   141      7.2414E-08    2.7941E-06 -4.1203E-10   7.0916E-11  4.6029E-07
   142      7.3142E-08    2.8222E-06 -4.2035E-10   7.2349E-11  4.6491E-07
   143      7.3877E-08    2.8506E-06 -4.2884E-10   7.3810E-11  4.6959E-07
   144      7.4620E-08    2.8792E-06 -4.3750E-10   7.5301E-11  4.7430E-07
   145      7.5370E-08    2.9082E-06 -4.4634E-10   7.6823E-11  4.7907E-07
   146      7.6127E-08    2.9374E-06 -4.5536E-10   7.8375E-11  4.8389E-07
   147      7.6892E-08    2.9669E-06 -4.6456E-10   7.9958E-11  4.8875E-07
   148      7.7665E-08    2.9967E-06 -4.7394E-10   8.1573E-11  4.9366E-07
   149      7.8445E-08    3.0269E-06 -4.8352E-10   8.3221E-11  4.9862E-07
   150      7.9234E-08    3.0573E-06 -4.9328E-10   8.4902E-11  5.0363E-07
   151      8.0030E-08    3.0880E-06 -5.0325E-10   8.6617E-11  5.0870E-07
   152      8.0834E-08    3.1190E-06 -5.1342E-10   8.8367E-11  5.1381E-07
   153      8.1647E-08    3.1504E-06 -5.2379E-10   9.0152E-11  5.1897E-07
   154      8.2467E-08    3.1820E-06 -5.3437E-10   9.1973E-11  5.2419E-07
   155      8.3296E-08    3.2140E-06 -5.4516E-10   9.3831E-11  5.2946E-07
   156      8.4133E-08    3.2463E-06 -5.5618E-10   9.5727E-11  5.3478E-07
   157      8.4979E-08    3.2790E-06 -5.6741E-10   9.7661E-11  5.4015E-07
   158      8.5833E-08    3.3119E-06 -5.7887E-10   9.9634E-11  5.4558E-07
