#                R                  6p-                      6p                      7s 
#                              P           Q            P           Q           P           Q
   108      3.3129E-08    9.2616E-11  9.7943E-07   1.4026E-12 -7.7039E-17  1.2057E-06 -1.1037E-10
   109      3.3462E-08    9.4487E-11  9.8927E-07   1.4310E-12 -7.9385E-17  1.2179E-06 -1.1260E-10
   110      3.3799E-08    9.6395E-11  9.9922E-07   1.4599E-12 -8.1803E-17  1.2301E-06 -1.1488E-10
   111      3.4138E-08    9.8343E-11  1.0093E-06   1.4894E-12 -8.4294E-17  1.2425E-06 -1.1720E-10
   112      3.4481E-08    1.0033E-10  1.0194E-06   1.5195E-12 -8.6862E-17  1.2549E-06 -1.1956E-10
   113      3.4828E-08    1.0236E-10  1.0296E-06   1.5501E-12 -8.9507E-17  1.2676E-06 -1.2198E-10
   114      3.5178E-08    1.0442E-10  1.0400E-06   1.5815E-12 -9.2233E-17  1.2803E-06 -1.2444E-10
   115      3.5531E-08    1.0653E-10  1.0504E-06   1.6134E-12 -9.5042E-17  1.2932E-06 -1.2696E-10
   116      3.5889E-08    1.0869E-10  1.0610E-06   1.6460E-12 -9.7936E-17  1.3062E-06 -1.2952E-10
   117      3.6249E-08    1.1088E-10  1.0717E-06   1.6793E-12 -1.0092E-16  1.3193E-06 -1.3214E-10
   118      3.6614E-08    1.1312E-10  1.0824E-06   1.7132E-12 -1.0399E-16  1.3325E-06 -1.3481E-10
   119      3.6982E-08    1.1541E-10  1.0933E-06   1.7478E-12 -1.0716E-16  1.3459E-06 -1.3753E-10
   120      3.7353E-08    1.1774E-10  1.1043E-06   1.7831E-12 -1.1042E-16  1.3595E-06 -1.4031E-10
   121      3.7729E-08    1.2012E-10  1.1154E-06   1.8191E-12 -1.1379E-16  1.3731E-06 -1.4315E-10
   122      3.8108E-08    1.2254E-10  1.1266E-06   1.8559E-12 -1.1725E-16  1.3869E-06 -1.4604E-10
   123      3.8491E-08    1.2502E-10  1.1379E-06   1.8934E-12 -1.2082E-16  1.4009E-06 -1.4899E-10
   124      3.8878E-08    1.2754E-10  1.1494E-06   1.9316E-12 -1.2450E-16  1.4149E-06 -1.5200E-10
   125      3.9268E-08    1.3012E-10  1.1609E-06   1.9706E-12 -1.2829E-16  1.4292E-06 -1.5507E-10
   126      3.9663E-08    1.3275E-10  1.1726E-06   2.0104E-12 -1.3220E-16  1.4435E-06 -1.5820E-10
   127      4.0062E-08    1.3543E-10  1.1844E-06   2.0510E-12 -1.3623E-16  1.4580E-06 -1.6140E-10
   128      4.0464E-08    1.3817E-10  1.1963E-06   2.0925E-12 -1.4037E-16  1.4727E-06 -1.6466E-10
   129      4.0871E-08    1.4096E-10  1.2083E-06   2.1348E-12 -1.4465E-16  1.4875E-06 -1.6798E-10
   130      4.1282E-08    1.4381E-10  1.2204E-06   2.1779E-12 -1.4905E-16  1.5024E-06 -1.7138E-10
   131      4.1697E-08    1.4671E-10  1.2327E-06   2.2219E-12 -1.5359E-16  1.5175E-06 -1.7484E-10
   132      4.2116E-08    1.4967E-10  1.2451E-06   2.2668E-12 -1.5827E-16  1.5328E-06 -1.7837E-10
   133      4.2539E-08    1.5270E-10  1.2576E-06   2.3126E-12 -1.6309E-16  1.5482E-06 -1.8197E-10
   134      4.2966E-08    1.5578E-10  1.2703E-06   2.3593E-12 -1.6806E-16  1.5638E-06 -1.8565E-10
   135      4.3398E-08    1.5893E-10  1.2830E-06   2.4069E-12 -1.7318E-16  1.5795E-06 -1.8940E-10
   136      4.3834E-08    1.6214E-10  1.2959E-06   2.4556E-12 -1.7845E-16  1.5953E-06 -1.9323E-10
   137      4.4275E-08    1.6542E-10  1.3089E-06   2.5052E-12 -1.8389E-16  1.6114E-06 -1.9713E-10
   138      4.4720E-08    1.6876E-10  1.3221E-06   2.5558E-12 -1.8949E-16  1.6276E-06 -2.0111E-10
   139      4.5169E-08    1.7217E-10  1.3354E-06   2.6074E-12 -1.9526E-16  1.6439E-06 -2.0517E-10
   140      4.5623E-08    1.7564E-10  1.3488E-06   2.6601E-12 -2.0120E-16  1.6604E-06 -2.0932E-10
   141      4.6082E-08    1.7919E-10  1.3624E-06   2.7138E-12 -2.0733E-16  1.6771E-06 -2.1355E-10
   142      4.6545E-08    1.8281E-10  1.3760E-06   2.7686E-12 -2.1364E-16  1.6940E-06 -2.1786E-10
   143      4.7013E-08    1.8651E-10  1.3899E-06   2.8246E-12 -2.2015E-16  1.7110E-06 -2.2226E-10
   144      4.7485E-08    1.9027E-10  1.4038E-06   2.8816E-12 -2.2686E-16  1.7282E-06 -2.2675E-10
   145      4.7962E-08    1.9412E-10  1.4180E-06   2.9398E-12 -2.3376E-16  1.7456E-06 -2.3133E-10
   146      4.8444E-08    1.9804E-10  1.4322E-06   2.9992E-12 -2.4088E-16  1.7631E-06 -2.3601E-10
   147      4.8931E-08    2.0204E-10  1.4466E-06   3.0598E-12 -2.4822E-16  1.7808E-06 -2.4077E-10
   148      4.9423E-08    2.0612E-10  1.4611E-06   3.1216E-12 -2.5578E-16  1.7987E-06 -2.4564E-10
   149      4.9920E-08    2.1028E-10  1.4758E-06   3.1847E-12 -2.6357E-16  1.8168E-06 -2.5060E-10
   150      5.0422E-08    2.1453E-10  1.4907E-06   3.2490E-12 -2.7160E-16  1.8351E-06 -2.5566E-10
   151      5.0928E-08    2.1887E-10  1.5056E-06   3.3146E-12 -2.7987E-16  1.8535E-06 -2.6083E-10
   152      5.1440E-08    2.2329E-10  1.5208E-06   3.3816E-12 -2.8839E-16  1.8722E-06 -2.6610E-10
