#                             P           Q            P           Q            P           Q            P           Q
#                R                 3d                       4s                       4p-                      4p 
    55      4.5158E-08   1.0424E-19 -3.1791E-24   1.2542E-06 -8.9252E-11   9.8136E-12  1.3035E-07   4.6367E-13 -1.9797E-17
    56      4.5612E-08   1.0742E-19 -3.3088E-24   1.2668E-06 -9.1055E-11   1.0012E-11  1.3166E-07   4.7304E-13 -2.0400E-17
    57      4.6070E-08   1.1069E-19 -3.4439E-24   1.2796E-06 -9.2895E-11   1.0214E-11  1.3299E-07   4.8259E-13 -2.1022E-17
    58      4.6533E-08   1.1406E-19 -3.5844E-24   1.2924E-06 -9.4771E-11   1.0420E-11  1.3432E-07   4.9234E-13 -2.1662E-17
    59      4.7001E-08   1.1753E-19 -3.7307E-24   1.3054E-06 -9.6686E-11   1.0631E-11  1.3567E-07   5.0229E-13 -2.2321E-17
    60      4.7473E-08   1.2111E-19 -3.8829E-24   1.3185E-06 -9.8639E-11   1.0846E-11  1.3704E-07   5.1244E-13 -2.3001E-17
    61      4.7950E-08   1.2480E-19 -4.0414E-24   1.3318E-06 -1.0063E-10   1.1065E-11  1.3841E-07   5.2279E-13 -2.3702E-17
    62      4.8432E-08   1.2860E-19 -4.2063E-24   1.3452E-06 -1.0266E-10   1.1288E-11  1.3981E-07   5.3335E-13 -2.4424E-17
    63      4.8919E-08   1.3252E-19 -4.3780E-24   1.3587E-06 -1.0474E-10   1.1516E-11  1.4121E-07   5.4412E-13 -2.5167E-17
    64      4.9411E-08   1.3655E-19 -4.5567E-24   1.3723E-06 -1.0685E-10   1.1749E-11  1.4263E-07   5.5512E-13 -2.5934E-17
    65      4.9907E-08   1.4071E-19 -4.7426E-24   1.3861E-06 -1.0901E-10   1.1986E-11  1.4406E-07   5.6633E-13 -2.6724E-17
    66      5.0409E-08   1.4500E-19 -4.9362E-24   1.4001E-06 -1.1122E-10   1.2228E-11  1.4551E-07   5.7777E-13 -2.7537E-17
    67      5.0916E-08   1.4941E-19 -5.1376E-24   1.4141E-06 -1.1346E-10   1.2476E-11  1.4697E-07   5.8944E-13 -2.8376E-17
    68      5.1427E-08   1.5396E-19 -5.3473E-24   1.4284E-06 -1.1575E-10   1.2728E-11  1.4845E-07   6.0135E-13 -2.9240E-17
    69      5.1944E-08   1.5865E-19 -5.5655E-24   1.4427E-06 -1.1809E-10   1.2985E-11  1.4994E-07   6.1350E-13 -3.0131E-17
    70      5.2466E-08   1.6348E-19 -5.7927E-24   1.4572E-06 -1.2048E-10   1.3247E-11  1.5145E-07   6.2589E-13 -3.1048E-17
    71      5.2993E-08   1.6846E-19 -6.0291E-24   1.4718E-06 -1.2291E-10   1.3515E-11  1.5297E-07   6.3854E-13 -3.1994E-17
    72      5.3526E-08   1.7359E-19 -6.2751E-24   1.4866E-06 -1.2539E-10   1.3788E-11  1.5451E-07   6.5144E-13 -3.2968E-17
    73      5.4064E-08   1.7888E-19 -6.5312E-24   1.5016E-06 -1.2793E-10   1.4066E-11  1.5606E-07   6.6459E-13 -3.3972E-17
    74      5.4607E-08   1.8433E-19 -6.7977E-24   1.5167E-06 -1.3051E-10   1.4350E-11  1.5763E-07   6.7802E-13 -3.5007E-17
    75      5.5156E-08   1.8994E-19 -7.0752E-24   1.5319E-06 -1.3315E-10   1.4640E-11  1.5921E-07   6.9172E-13 -3.6073E-17
    76      5.5711E-08   1.9572E-19 -7.3639E-24   1.5473E-06 -1.3584E-10   1.4936E-11  1.6081E-07   7.0569E-13 -3.7172E-17
    77      5.6270E-08   2.0168E-19 -7.6644E-24   1.5629E-06 -1.3858E-10   1.5238E-11  1.6243E-07   7.1995E-13 -3.8304E-17
    78      5.6836E-08   2.0783E-19 -7.9772E-24   1.5786E-06 -1.4138E-10   1.5545E-11  1.6406E-07   7.3449E-13 -3.9470E-17
    79      5.7407E-08   2.1416E-19 -8.3028E-24   1.5944E-06 -1.4424E-10   1.5859E-11  1.6571E-07   7.4933E-13 -4.0672E-17
    80      5.7984E-08   2.2068E-19 -8.6416E-24   1.6105E-06 -1.4715E-10   1.6180E-11  1.6738E-07   7.6447E-13 -4.1911E-17
    81      5.8567E-08   2.2740E-19 -8.9943E-24   1.6266E-06 -1.5012E-10   1.6507E-11  1.6906E-07   7.7991E-13 -4.3187E-17
    82      5.9155E-08   2.3432E-19 -9.3614E-24   1.6430E-06 -1.5316E-10   1.6840E-11  1.7076E-07   7.9566E-13 -4.4503E-17
    83      5.9750E-08   2.4146E-19 -9.7434E-24   1.6595E-06 -1.5625E-10   1.7180E-11  1.7248E-07   8.1174E-13 -4.5858E-17
    84      6.0350E-08   2.4881E-19 -1.0141E-23   1.6762E-06 -1.5941E-10   1.7527E-11  1.7421E-07   8.2814E-13 -4.7255E-17
    85      6.0957E-08   2.5639E-19 -1.0555E-23   1.6930E-06 -1.6263E-10   1.7882E-11  1.7596E-07   8.4487E-13 -4.8694E-17
    86      6.1570E-08   2.6420E-19 -1.0986E-23   1.7100E-06 -1.6591E-10   1.8243E-11  1.7773E-07   8.6193E-13 -5.0177E-17
    87      6.2188E-08   2.7225E-19 -1.1434E-23   1.7272E-06 -1.6927E-10   1.8611E-11  1.7951E-07   8.7935E-13 -5.1705E-17
    88      6.2813E-08   2.8054E-19 -1.1901E-23   1.7446E-06 -1.7268E-10   1.8987E-11  1.8132E-07   8.9711E-13 -5.3279E-17
    89      6.3445E-08   2.8908E-19 -1.2386E-23   1.7621E-06 -1.7617E-10   1.9371E-11  1.8314E-07   9.1523E-13 -5.4902E-17
    90      6.4082E-08   2.9788E-19 -1.2892E-23   1.7798E-06 -1.7973E-10   1.9762E-11  1.8498E-07   9.3372E-13 -5.6574E-17
    91      6.4726E-08   3.0696E-19 -1.3418E-23   1.7977E-06 -1.8336E-10   2.0161E-11  1.8684E-07   9.5258E-13 -5.8297E-17
    92      6.5377E-08   3.1630E-19 -1.3966E-23   1.8158E-06 -1.8707E-10   2.0569E-11  1.8872E-07   9.7183E-13 -6.0072E-17
    93      6.6034E-08   3.2594E-19 -1.4535E-23   1.8340E-06 -1.9085E-10   2.0984E-11  1.9061E-07   9.9146E-13 -6.1902E-17
    94      6.6698E-08   3.3586E-19 -1.5129E-23   1.8525E-06 -1.9470E-10   2.1408E-11  1.9253E-07   1.0115E-12 -6.3787E-17
    95      6.7368E-08   3.4609E-19 -1.5746E-23   1.8711E-06 -1.9863E-10   2.1841E-11  1.9447E-07   1.0319E-12 -6.5730E-17
    96      6.8045E-08   3.5663E-19 -1.6389E-23   1.8899E-06 -2.0265E-10   2.2282E-11  1.9642E-07   1.0528E-12 -6.7731E-17
    97      6.8729E-08   3.6749E-19 -1.7058E-23   1.9089E-06 -2.0674E-10   2.2732E-11  1.9839E-07   1.0740E-12 -6.9794E-17
    98      6.9420E-08   3.7868E-19 -1.7754E-23   1.9281E-06 -2.1092E-10   2.3191E-11  2.0039E-07   1.0957E-12 -7.1920E-17
    99      7.0117E-08   3.9022E-19 -1.8478E-23   1.9474E-06 -2.1518E-10   2.3660E-11  2.0240E-07   1.1179E-12 -7.4110E-17
   100      7.0822E-08   4.0210E-19 -1.9232E-23   1.9670E-06 -2.1953E-10   2.4138E-11  2.0444E-07   1.1404E-12 -7.6367E-17
   101      7.1534E-08   4.1435E-19 -2.0017E-23   1.9868E-06 -2.2396E-10   2.4625E-11  2.0649E-07   1.1635E-12 -7.8693E-17
   102      7.2253E-08   4.2697E-19 -2.0834E-23   2.0068E-06 -2.2848E-10   2.5123E-11  2.0857E-07   1.1870E-12 -8.1089E-17
