#                             P           Q            P           Q
#                R                 5p                       6s 
     1      1.7857E-08   1.3629E-13 -2.9737E-18   1.9215E-07 -6.9874E-12
     2      1.8037E-08   1.3905E-13 -3.0643E-18   1.9409E-07 -7.1285E-12
     3      1.8218E-08   1.4186E-13 -3.1576E-18   1.9604E-07 -7.2725E-12
     4      1.8401E-08   1.4472E-13 -3.2537E-18   1.9801E-07 -7.4194E-12
     5      1.8586E-08   1.4765E-13 -3.3528E-18   2.0000E-07 -7.5693E-12
     6      1.8773E-08   1.5063E-13 -3.4549E-18   2.0201E-07 -7.7222E-12
     7      1.8961E-08   1.5367E-13 -3.5602E-18   2.0404E-07 -7.8782E-12
     8      1.9152E-08   1.5678E-13 -3.6686E-18   2.0609E-07 -8.0374E-12
     9      1.9344E-08   1.5994E-13 -3.7803E-18   2.0816E-07 -8.1998E-12
    10      1.9539E-08   1.6317E-13 -3.8954E-18   2.1025E-07 -8.3654E-12
    11      1.9735E-08   1.6647E-13 -4.0141E-18   2.1236E-07 -8.5344E-12
    12      1.9934E-08   1.6983E-13 -4.1363E-18   2.1450E-07 -8.7068E-12
    13      2.0134E-08   1.7326E-13 -4.2623E-18   2.1665E-07 -8.8827E-12
    14      2.0336E-08   1.7676E-13 -4.3921E-18   2.1883E-07 -9.0621E-12
    15      2.0541E-08   1.8034E-13 -4.5259E-18   2.2103E-07 -9.2452E-12
    16      2.0747E-08   1.8398E-13 -4.6637E-18   2.2325E-07 -9.4320E-12
    17      2.0956E-08   1.8770E-13 -4.8057E-18   2.2550E-07 -9.6225E-12
    18      2.1166E-08   1.9149E-13 -4.9521E-18   2.2776E-07 -9.8169E-12
    19      2.1379E-08   1.9536E-13 -5.1029E-18   2.3005E-07 -1.0015E-11
    20      2.1594E-08   1.9930E-13 -5.2583E-18   2.3236E-07 -1.0218E-11
    21      2.1811E-08   2.0333E-13 -5.4184E-18   2.3470E-07 -1.0424E-11
    22      2.2030E-08   2.0744E-13 -5.5834E-18   2.3706E-07 -1.0635E-11
    23      2.2251E-08   2.1163E-13 -5.7535E-18   2.3944E-07 -1.0849E-11
    24      2.2475E-08   2.1590E-13 -5.9287E-18   2.4185E-07 -1.1069E-11
    25      2.2701E-08   2.2026E-13 -6.1093E-18   2.4428E-07 -1.1292E-11
    26      2.2929E-08   2.2471E-13 -6.2953E-18   2.4673E-07 -1.1520E-11
    27      2.3159E-08   2.2925E-13 -6.4870E-18   2.4921E-07 -1.1753E-11
    28      2.3392E-08   2.3388E-13 -6.6846E-18   2.5172E-07 -1.1990E-11
    29      2.3627E-08   2.3861E-13 -6.8882E-18   2.5425E-07 -1.2233E-11
    30      2.3865E-08   2.4343E-13 -7.0980E-18   2.5680E-07 -1.2480E-11
    31      2.4105E-08   2.4835E-13 -7.3141E-18   2.5938E-07 -1.2732E-11
    32      2.4347E-08   2.5336E-13 -7.5369E-18   2.6199E-07 -1.2989E-11
    33      2.4592E-08   2.5848E-13 -7.7664E-18   2.6462E-07 -1.3251E-11
    34      2.4839E-08   2.6370E-13 -8.0029E-18   2.6728E-07 -1.3519E-11
    35      2.5088E-08   2.6903E-13 -8.2466E-18   2.6997E-07 -1.3792E-11
    36      2.5340E-08   2.7446E-13 -8.4978E-18   2.7268E-07 -1.4071E-11
    37      2.5595E-08   2.8001E-13 -8.7566E-18   2.7542E-07 -1.4355E-11
    38      2.5852E-08   2.8567E-13 -9.0233E-18   2.7819E-07 -1.4645E-11
    39      2.6112E-08   2.9144E-13 -9.2981E-18   2.8098E-07 -1.4941E-11
    40      2.6375E-08   2.9732E-13 -9.5812E-18   2.8381E-07 -1.5243E-11
    41      2.6640E-08   3.0333E-13 -9.8730E-18   2.8666E-07 -1.5551E-11
    42      2.6907E-08   3.0946E-13 -1.0174E-17   2.8954E-07 -1.5865E-11
    43      2.7178E-08   3.1571E-13 -1.0484E-17   2.9245E-07 -1.6185E-11
    44      2.7451E-08   3.2209E-13 -1.0803E-17   2.9539E-07 -1.6512E-11
    45      2.7727E-08   3.2859E-13 -1.1132E-17   2.9836E-07 -1.6846E-11
    46      2.8006E-08   3.3523E-13 -1.1471E-17   3.0136E-07 -1.7186E-11
    47      2.8287E-08   3.4200E-13 -1.1820E-17   3.0439E-07 -1.7533E-11
    48      2.8571E-08   3.4891E-13 -1.2180E-17   3.0745E-07 -1.7888E-11
    49      2.8858E-08   3.5596E-13 -1.2551E-17   3.1054E-07 -1.8249E-11
    50      2.9149E-08   3.6315E-13 -1.2933E-17   3.1366E-07 -1.8618E-11
    51      2.9441E-08   3.7049E-13 -1.3327E-17   3.1681E-07 -1.8994E-11
    52      2.9737E-08   3.7797E-13 -1.3733E-17   3.1999E-07 -1.9377E-11
    53      3.0036E-08   3.8561E-13 -1.4151E-17   3.2321E-07 -1.9769E-11
    54      3.0338E-08   3.9340E-13 -1.4582E-17   3.2646E-07 -2.0168E-11
    55      3.0643E-08   4.0134E-13 -1.5026E-17   3.2974E-07 -2.0576E-11
    56      3.0951E-08   4.0945E-13 -1.5484E-17   3.3305E-07 -2.0991E-11
    57      3.1262E-08   4.1772E-13 -1.5956E-17   3.3640E-07 -2.1415E-11
    58      3.1576E-08   4.2616E-13 -1.6441E-17   3.3978E-07 -2.1848E-11
    59      3.1894E-08   4.3477E-13 -1.6942E-17   3.4319E-07 -2.2289E-11
    60      3.2214E-08   4.4355E-13 -1.7458E-17   3.4664E-07 -2.2740E-11
    61      3.2538E-08   4.5251E-13 -1.7990E-17   3.5013E-07 -2.3199E-11
    62      3.2865E-08   4.6166E-13 -1.8538E-17   3.5365E-07 -2.3668E-11
    63      3.3195E-08   4.7098E-13 -1.9102E-17   3.5720E-07 -2.4146E-11
    64      3.3529E-08   4.8050E-13 -1.9684E-17   3.6079E-07 -2.4633E-11
    65      3.3866E-08   4.9020E-13 -2.0283E-17   3.6442E-07 -2.5131E-11
    66      3.4206E-08   5.0011E-13 -2.0901E-17   3.6808E-07 -2.5639E-11
    67      3.4550E-08   5.1021E-13 -2.1538E-17   3.7178E-07 -2.6157E-11
    68      3.4897E-08   5.2052E-13 -2.2194E-17   3.7552E-07 -2.6685E-11
    69      3.5248E-08   5.3103E-13 -2.2870E-17   3.7929E-07 -2.7224E-11
    70      3.5602E-08   5.4176E-13 -2.3566E-17   3.8310E-07 -2.7774E-11
    71      3.5960E-08   5.5270E-13 -2.4284E-17   3.8695E-07 -2.8335E-11
    72      3.6321E-08   5.6387E-13 -2.5023E-17   3.9084E-07 -2.8908E-11
    73      3.6686E-08   5.7526E-13 -2.5785E-17   3.9477E-07 -2.9492E-11
    74      3.7055E-08   5.8688E-13 -2.6571E-17   3.9874E-07 -3.0087E-11
    75      3.7427E-08   5.9874E-13 -2.7380E-17   4.0274E-07 -3.0695E-11
    76      3.7804E-08   6.1083E-13 -2.8214E-17   4.0679E-07 -3.1315E-11
    77      3.8184E-08   6.2317E-13 -2.9073E-17   4.1088E-07 -3.1948E-11
    78      3.8567E-08   6.3576E-13 -2.9958E-17   4.1501E-07 -3.2593E-11
    79      3.8955E-08   6.4860E-13 -3.0871E-17   4.1918E-07 -3.3252E-11
    80      3.9346E-08   6.6171E-13 -3.1811E-17   4.2339E-07 -3.3923E-11
    81      3.9742E-08   6.7507E-13 -3.2780E-17   4.2765E-07 -3.4609E-11
    82      4.0141E-08   6.8871E-13 -3.3778E-17   4.3195E-07 -3.5308E-11
    83      4.0545E-08   7.0262E-13 -3.4807E-17   4.3629E-07 -3.6021E-11
    84      4.0952E-08   7.1682E-13 -3.5867E-17   4.4067E-07 -3.6749E-11
    85      4.1364E-08   7.3130E-13 -3.6959E-17   4.4510E-07 -3.7491E-11
    86      4.1779E-08   7.4607E-13 -3.8084E-17   4.4957E-07 -3.8249E-11
    87      4.2199E-08   7.6114E-13 -3.9244E-17   4.5409E-07 -3.9021E-11
    88      4.2623E-08   7.7652E-13 -4.0439E-17   4.5866E-07 -3.9809E-11
    89      4.3052E-08   7.9220E-13 -4.1671E-17   4.6326E-07 -4.0614E-11
    90      4.3484E-08   8.0821E-13 -4.2940E-17   4.6792E-07 -4.1434E-11
    91      4.3921E-08   8.2454E-13 -4.4248E-17   4.7262E-07 -4.2271E-11
    92      4.4363E-08   8.4119E-13 -4.5595E-17   4.7737E-07 -4.3125E-11
    93      4.4809E-08   8.5819E-13 -4.6984E-17   4.8217E-07 -4.3996E-11
    94      4.5259E-08   8.7552E-13 -4.8415E-17   4.8702E-07 -4.4885E-11
    95      4.5714E-08   8.9321E-13 -4.9889E-17   4.9191E-07 -4.5792E-11
    96      4.6173E-08   9.1125E-13 -5.1409E-17   4.9686E-07 -4.6717E-11
    97      4.6637E-08   9.2966E-13 -5.2974E-17   5.0185E-07 -4.7661E-11
    98      4.7106E-08   9.4844E-13 -5.4588E-17   5.0689E-07 -4.8623E-11
    99      4.7580E-08   9.6760E-13 -5.6250E-17   5.1199E-07 -4.9606E-11
   100      4.8058E-08   9.8715E-13 -5.7963E-17   5.1713E-07 -5.0608E-11
   101      4.8541E-08   1.0071E-12 -5.9728E-17   5.2233E-07 -5.1630E-11
   102      4.9029E-08   1.0274E-12 -6.1547E-17   5.2758E-07 -5.2673E-11
   103      4.9521E-08   1.0482E-12 -6.3422E-17   5.3288E-07 -5.3737E-11
   104      5.0019E-08   1.0694E-12 -6.5353E-17   5.3824E-07 -5.4823E-11
   105      5.0522E-08   1.0910E-12 -6.7343E-17   5.4365E-07 -5.5930E-11
   106      5.1029E-08   1.1130E-12 -6.9394E-17   5.4911E-07 -5.7060E-11
   107      5.1542E-08   1.1355E-12 -7.1508E-17   5.5463E-07 -5.8213E-11
   108      5.2060E-08   1.1584E-12 -7.3685E-17   5.6020E-07 -5.9389E-11
   109      5.2584E-08   1.1818E-12 -7.5930E-17   5.6583E-07 -6.0588E-11
   110      5.3112E-08   1.2057E-12 -7.8242E-17   5.7152E-07 -6.1812E-11
   111      5.3646E-08   1.2301E-12 -8.0625E-17   5.7726E-07 -6.3061E-11
   112      5.4185E-08   1.2549E-12 -8.3080E-17   5.8306E-07 -6.4335E-11
   113      5.4730E-08   1.2803E-12 -8.5610E-17   5.8892E-07 -6.5635E-11
   114      5.5280E-08   1.3061E-12 -8.8218E-17   5.9484E-07 -6.6961E-11
   115      5.5835E-08   1.3325E-12 -9.0904E-17   6.0082E-07 -6.8313E-11
   116      5.6396E-08   1.3594E-12 -9.3673E-17   6.0686E-07 -6.9693E-11
   117      5.6963E-08   1.3869E-12 -9.6525E-17   6.1296E-07 -7.1101E-11
   118      5.7536E-08   1.4149E-12 -9.9465E-17   6.1912E-07 -7.2538E-11
   119      5.8114E-08   1.4435E-12 -1.0249E-16   6.2534E-07 -7.4003E-11
   120      5.8698E-08   1.4727E-12 -1.0562E-16   6.3163E-07 -7.5498E-11
   121      5.9288E-08   1.5024E-12 -1.0883E-16   6.3797E-07 -7.7023E-11
   122      5.9884E-08   1.5328E-12 -1.1215E-16   6.4439E-07 -7.8579E-11
   123      6.0485E-08   1.5637E-12 -1.1556E-16   6.5086E-07 -8.0166E-11
   124      6.1093E-08   1.5953E-12 -1.1908E-16   6.5740E-07 -8.1786E-11
   125      6.1707E-08   1.6275E-12 -1.2271E-16   6.6401E-07 -8.3438E-11
   126      6.2328E-08   1.6604E-12 -1.2644E-16   6.7068E-07 -8.5124E-11
   127      6.2954E-08   1.6940E-12 -1.3030E-16   6.7742E-07 -8.6843E-11
   128      6.3587E-08   1.7282E-12 -1.3426E-16   6.8423E-07 -8.8598E-11
   129      6.4226E-08   1.7631E-12 -1.3835E-16   6.9111E-07 -9.0387E-11
   130      6.4871E-08   1.7987E-12 -1.4257E-16   6.9806E-07 -9.2213E-11
   131      6.5523E-08   1.8350E-12 -1.4691E-16   7.0507E-07 -9.4076E-11
   132      6.6182E-08   1.8721E-12 -1.5138E-16   7.1216E-07 -9.5977E-11
   133      6.6847E-08   1.9099E-12 -1.5599E-16   7.1931E-07 -9.7915E-11
   134      6.7519E-08   1.9485E-12 -1.6074E-16   7.2654E-07 -9.9893E-11
   135      6.8197E-08   1.9879E-12 -1.6564E-16   7.3385E-07 -1.0191E-10
   136      6.8883E-08   2.0280E-12 -1.7068E-16   7.4122E-07 -1.0397E-10
   137      6.9575E-08   2.0690E-12 -1.7588E-16   7.4867E-07 -1.0607E-10
   138      7.0274E-08   2.1108E-12 -1.8124E-16   7.5619E-07 -1.0821E-10
   139      7.0980E-08   2.1534E-12 -1.8676E-16   7.6379E-07 -1.1040E-10
   140      7.1694E-08   2.1969E-12 -1.9244E-16   7.7147E-07 -1.1263E-10
   141      7.2414E-08   2.2413E-12 -1.9830E-16   7.7922E-07 -1.1490E-10
   142      7.3142E-08   2.2866E-12 -2.0434E-16   7.8706E-07 -1.1723E-10
   143      7.3877E-08   2.3328E-12 -2.1057E-16   7.9497E-07 -1.1959E-10
   144      7.4620E-08   2.3799E-12 -2.1698E-16   8.0295E-07 -1.2201E-10
   145      7.5370E-08   2.4280E-12 -2.2359E-16   8.1102E-07 -1.2447E-10
   146      7.6127E-08   2.4770E-12 -2.3040E-16   8.1918E-07 -1.2699E-10
   147      7.6892E-08   2.5271E-12 -2.3741E-16   8.2741E-07 -1.2955E-10
   148      7.7665E-08   2.5781E-12 -2.4464E-16   8.3572E-07 -1.3217E-10
   149      7.8445E-08   2.6302E-12 -2.5209E-16   8.4412E-07 -1.3484E-10
   150      7.9234E-08   2.6833E-12 -2.5977E-16   8.5261E-07 -1.3757E-10
   151      8.0030E-08   2.7376E-12 -2.6768E-16   8.6118E-07 -1.4035E-10
   152      8.0834E-08   2.7929E-12 -2.7584E-16   8.6983E-07 -1.4318E-10
   153      8.1647E-08   2.8493E-12 -2.8424E-16   8.7857E-07 -1.4607E-10
   154      8.2467E-08   2.9068E-12 -2.9289E-16   8.8740E-07 -1.4902E-10
   155      8.3296E-08   2.9656E-12 -3.0181E-16   8.9632E-07 -1.5203E-10
   156      8.4133E-08   3.0255E-12 -3.1100E-16   9.0533E-07 -1.5511E-10
   157      8.4979E-08   3.0866E-12 -3.2048E-16   9.1443E-07 -1.5824E-10
   158      8.5833E-08   3.1489E-12 -3.3024E-16   9.2362E-07 -1.6144E-10
   159      8.6696E-08   3.2125E-12 -3.4029E-16   9.3290E-07 -1.6470E-10
   160      8.7567E-08   3.2774E-12 -3.5066E-16   9.4228E-07 -1.6802E-10
   161      8.8447E-08   3.3437E-12 -3.6134E-16   9.5175E-07 -1.7142E-10
   162      8.9336E-08   3.4112E-12 -3.7234E-16   9.6131E-07 -1.7488E-10
   163      9.0234E-08   3.4801E-12 -3.8368E-16   9.7097E-07 -1.7841E-10
   164      9.1141E-08   3.5504E-12 -3.9536E-16   9.8073E-07 -1.8202E-10
   165      9.2057E-08   3.6221E-12 -4.0740E-16   9.9059E-07 -1.8569E-10
   166      9.2982E-08   3.6953E-12 -4.1981E-16   1.0005E-06 -1.8945E-10
   167      9.3916E-08   3.7700E-12 -4.3260E-16   1.0106E-06 -1.9327E-10
   168      9.4860E-08   3.8461E-12 -4.4577E-16   1.0208E-06 -1.9718E-10
   169      9.5813E-08   3.9238E-12 -4.5935E-16   1.0310E-06 -2.0116E-10
   170      9.6776E-08   4.0031E-12 -4.7334E-16   1.0414E-06 -2.0522E-10
   171      9.7749E-08   4.0839E-12 -4.8775E-16   1.0518E-06 -2.0937E-10
   172      9.8731E-08   4.1665E-12 -5.0261E-16   1.0624E-06 -2.1360E-10
   173      9.9724E-08   4.2506E-12 -5.1791E-16   1.0731E-06 -2.1791E-10
   174      1.0073E-07   4.3365E-12 -5.3368E-16   1.0839E-06 -2.2232E-10
   175      1.0174E-07   4.4241E-12 -5.4994E-16   1.0948E-06 -2.2681E-10
   176      1.0276E-07   4.5135E-12 -5.6669E-16   1.1058E-06 -2.3139E-10
   177      1.0379E-07   4.6046E-12 -5.8394E-16   1.1169E-06 -2.3606E-10
   178      1.0484E-07   4.6977E-12 -6.0173E-16   1.1281E-06 -2.4083E-10
   179      1.0589E-07   4.7926E-12 -6.2005E-16   1.1394E-06 -2.4570E-10
   180      1.0695E-07   4.8894E-12 -6.3894E-16   1.1509E-06 -2.5066E-10
   181      1.0803E-07   4.9881E-12 -6.5840E-16   1.1625E-06 -2.5573E-10
   182      1.0912E-07   5.0889E-12 -6.7845E-16   1.1741E-06 -2.6089E-10
   183      1.1021E-07   5.1917E-12 -6.9911E-16   1.1859E-06 -2.6616E-10
   184      1.1132E-07   5.2966E-12 -7.2040E-16   1.1979E-06 -2.7154E-10
   185      1.1244E-07   5.4036E-12 -7.4234E-16   1.2099E-06 -2.7702E-10
   186      1.1357E-07   5.5128E-12 -7.6495E-16   1.2221E-06 -2.8262E-10
   187      1.1471E-07   5.6241E-12 -7.8824E-16   1.2343E-06 -2.8833E-10
   188      1.1586E-07   5.7377E-12 -8.1225E-16   1.2468E-06 -2.9415E-10
   189      1.1703E-07   5.8536E-12 -8.3698E-16   1.2593E-06 -3.0010E-10
   190      1.1820E-07   5.9719E-12 -8.6247E-16   1.2719E-06 -3.0616E-10
   191      1.1939E-07   6.0925E-12 -8.8874E-16   1.2847E-06 -3.1234E-10
   192      1.2059E-07   6.2156E-12 -9.1581E-16   1.2976E-06 -3.1865E-10
   193      1.2180E-07   6.3412E-12 -9.4370E-16   1.3107E-06 -3.2509E-10
   194      1.2303E-07   6.4693E-12 -9.7244E-16   1.3238E-06 -3.3166E-10
   195      1.2426E-07   6.6000E-12 -1.0021E-15   1.3372E-06 -3.3836E-10
   196      1.2551E-07   6.7333E-12 -1.0326E-15   1.3506E-06 -3.4519E-10
   197      1.2677E-07   6.8693E-12 -1.0640E-15   1.3642E-06 -3.5217E-10
   198      1.2805E-07   7.0081E-12 -1.0964E-15   1.3779E-06 -3.5928E-10
   199      1.2933E-07   7.1497E-12 -1.1298E-15   1.3917E-06 -3.6654E-10
   200      1.3063E-07   7.2941E-12 -1.1642E-15   1.4057E-06 -3.7394E-10
   201      1.3195E-07   7.4414E-12 -1.1997E-15   1.4198E-06 -3.8150E-10
   202      1.3327E-07   7.5918E-12 -1.2362E-15   1.4341E-06 -3.8920E-10
   203      1.3461E-07   7.7451E-12 -1.2739E-15   1.4485E-06 -3.9707E-10
   204      1.3597E-07   7.9016E-12 -1.3127E-15   1.4631E-06 -4.0509E-10
   205      1.3733E-07   8.0612E-12 -1.3526E-15   1.4778E-06 -4.1327E-10
   206      1.3871E-07   8.2241E-12 -1.3938E-15   1.4926E-06 -4.2162E-10
   207      1.4011E-07   8.3902E-12 -1.4363E-15   1.5076E-06 -4.3014E-10
   208      1.4151E-07   8.5597E-12 -1.4800E-15   1.5228E-06 -4.3883E-10
   209      1.4294E-07   8.7326E-12 -1.5251E-15   1.5381E-06 -4.4769E-10
   210      1.4437E-07   8.9090E-12 -1.5715E-15   1.5536E-06 -4.5674E-10
   211      1.4582E-07   9.0890E-12 -1.6194E-15   1.5692E-06 -4.6596E-10
   212      1.4729E-07   9.2726E-12 -1.6687E-15   1.5849E-06 -4.7537E-10
   213      1.4877E-07   9.4599E-12 -1.7195E-15   1.6009E-06 -4.8498E-10
   214      1.5027E-07   9.6510E-12 -1.7719E-15   1.6170E-06 -4.9478E-10
   215      1.5178E-07   9.8460E-12 -1.8259E-15   1.6332E-06 -5.0477E-10
   216      1.5330E-07   1.0045E-11 -1.8815E-15   1.6496E-06 -5.1497E-10
   217      1.5484E-07   1.0248E-11 -1.9388E-15   1.6662E-06 -5.2537E-10
   218      1.5640E-07   1.0455E-11 -1.9978E-15   1.6829E-06 -5.3598E-10
   219      1.5797E-07   1.0666E-11 -2.0586E-15   1.6999E-06 -5.4681E-10
   220      1.5956E-07   1.0882E-11 -2.1213E-15   1.7169E-06 -5.5786E-10
   221      1.6116E-07   1.1101E-11 -2.1859E-15   1.7342E-06 -5.6913E-10
   222      1.6278E-07   1.1326E-11 -2.2525E-15   1.7516E-06 -5.8062E-10
   223      1.6442E-07   1.1554E-11 -2.3211E-15   1.7692E-06 -5.9235E-10
   224      1.6607E-07   1.1788E-11 -2.3918E-15   1.7870E-06 -6.0432E-10
   225      1.6774E-07   1.2026E-11 -2.4646E-15   1.8050E-06 -6.1653E-10
   226      1.6942E-07   1.2269E-11 -2.5397E-15   1.8231E-06 -6.2898E-10
   227      1.7113E-07   1.2517E-11 -2.6171E-15   1.8414E-06 -6.4169E-10
   228      1.7285E-07   1.2770E-11 -2.6968E-15   1.8599E-06 -6.5465E-10
   229      1.7458E-07   1.3028E-11 -2.7789E-15   1.8786E-06 -6.6788E-10
   230      1.7634E-07   1.3291E-11 -2.8635E-15   1.8975E-06 -6.8137E-10
   231      1.7811E-07   1.3559E-11 -2.9507E-15   1.9166E-06 -6.9513E-10
   232      1.7990E-07   1.3833E-11 -3.0406E-15   1.9358E-06 -7.0918E-10
   233      1.8171E-07   1.4113E-11 -3.1332E-15   1.9553E-06 -7.2350E-10
   234      1.8353E-07   1.4398E-11 -3.2286E-15   1.9749E-06 -7.3812E-10
   235      1.8538E-07   1.4688E-11 -3.3269E-15   1.9948E-06 -7.5303E-10
   236      1.8724E-07   1.4985E-11 -3.4282E-15   2.0148E-06 -7.6824E-10
   237      1.8912E-07   1.5288E-11 -3.5327E-15   2.0351E-06 -7.8376E-10
   238      1.9102E-07   1.5597E-11 -3.6402E-15   2.0555E-06 -7.9959E-10
   239      1.9294E-07   1.5912E-11 -3.7511E-15   2.0762E-06 -8.1575E-10
   240      1.9488E-07   1.6233E-11 -3.8653E-15   2.0971E-06 -8.3223E-10
   241      1.9684E-07   1.6561E-11 -3.9831E-15   2.1181E-06 -8.4904E-10
   242      1.9882E-07   1.6896E-11 -4.1044E-15   2.1394E-06 -8.6619E-10
   243      2.0082E-07   1.7237E-11 -4.2294E-15   2.1609E-06 -8.8369E-10
   244      2.0284E-07   1.7585E-11 -4.3582E-15   2.1827E-06 -9.0154E-10
   245      2.0488E-07   1.7941E-11 -4.4909E-15   2.2046E-06 -9.1975E-10
   246      2.0693E-07   1.8303E-11 -4.6276E-15   2.2267E-06 -9.3833E-10
   247      2.0901E-07   1.8673E-11 -4.7686E-15   2.2491E-06 -9.5729E-10
   248      2.1112E-07   1.9050E-11 -4.9138E-15   2.2717E-06 -9.7663E-10
   249      2.1324E-07   1.9435E-11 -5.0635E-15   2.2946E-06 -9.9635E-10
   250      2.1538E-07   1.9827E-11 -5.2177E-15   2.3176E-06 -1.0165E-09
   251      2.1754E-07   2.0228E-11 -5.3766E-15   2.3409E-06 -1.0370E-09
   252      2.1973E-07   2.0637E-11 -5.5403E-15   2.3644E-06 -1.0580E-09
   253      2.2194E-07   2.1053E-11 -5.7090E-15   2.3882E-06 -1.0793E-09
   254      2.2417E-07   2.1479E-11 -5.8829E-15   2.4122E-06 -1.1011E-09
   255      2.2642E-07   2.1913E-11 -6.0621E-15   2.4365E-06 -1.1234E-09
   256      2.2870E-07   2.2355E-11 -6.2467E-15   2.4609E-06 -1.1461E-09
   257      2.3100E-07   2.2807E-11 -6.4369E-15   2.4857E-06 -1.1692E-09
   258      2.3332E-07   2.3268E-11 -6.6329E-15   2.5107E-06 -1.1929E-09
   259      2.3566E-07   2.3738E-11 -6.8349E-15   2.5359E-06 -1.2169E-09
   260      2.3803E-07   2.4217E-11 -7.0431E-15   2.5614E-06 -1.2415E-09
   261      2.4042E-07   2.4706E-11 -7.2576E-15   2.5871E-06 -1.2666E-09
   262      2.4284E-07   2.5206E-11 -7.4786E-15   2.6131E-06 -1.2922E-09
   263      2.4528E-07   2.5715E-11 -7.7064E-15   2.6394E-06 -1.3183E-09
   264      2.4775E-07   2.6234E-11 -7.9411E-15   2.6659E-06 -1.3449E-09
   265      2.5024E-07   2.6764E-11 -8.1829E-15   2.6927E-06 -1.3721E-09
   266      2.5275E-07   2.7305E-11 -8.4321E-15   2.7198E-06 -1.3998E-09
   267      2.5529E-07   2.7856E-11 -8.6889E-15   2.7471E-06 -1.4281E-09
   268      2.5786E-07   2.8419E-11 -8.9535E-15   2.7747E-06 -1.4570E-09
   269      2.6045E-07   2.8993E-11 -9.2262E-15   2.8026E-06 -1.4864E-09
   270      2.6307E-07   2.9579E-11 -9.5072E-15   2.8308E-06 -1.5164E-09
   271      2.6571E-07   3.0177E-11 -9.7967E-15   2.8592E-06 -1.5470E-09
   272      2.6838E-07   3.0786E-11 -1.0095E-14   2.8879E-06 -1.5783E-09
   273      2.7108E-07   3.1408E-11 -1.0403E-14   2.9170E-06 -1.6102E-09
   274      2.7380E-07   3.2043E-11 -1.0719E-14   2.9463E-06 -1.6427E-09
   275      2.7655E-07   3.2690E-11 -1.1046E-14   2.9759E-06 -1.6759E-09
   276      2.7933E-07   3.3350E-11 -1.1382E-14   3.0058E-06 -1.7097E-09
   277      2.8214E-07   3.4024E-11 -1.1729E-14   3.0360E-06 -1.7443E-09
   278      2.8498E-07   3.4711E-11 -1.2086E-14   3.0665E-06 -1.7795E-09
   279      2.8784E-07   3.5412E-11 -1.2454E-14   3.0973E-06 -1.8155E-09
   280      2.9073E-07   3.6128E-11 -1.2833E-14   3.1285E-06 -1.8521E-09
   281      2.9365E-07   3.6858E-11 -1.3224E-14   3.1599E-06 -1.8896E-09
   282      2.9661E-07   3.7602E-11 -1.3627E-14   3.1917E-06 -1.9277E-09
   283      2.9959E-07   3.8362E-11 -1.4042E-14   3.2237E-06 -1.9667E-09
   284      3.0260E-07   3.9137E-11 -1.4470E-14   3.2561E-06 -2.0064E-09
   285      3.0564E-07   3.9927E-11 -1.4910E-14   3.2889E-06 -2.0469E-09
   286      3.0871E-07   4.0734E-11 -1.5364E-14   3.3219E-06 -2.0883E-09
   287      3.1181E-07   4.1557E-11 -1.5832E-14   3.3553E-06 -2.1305E-09
   288      3.1495E-07   4.2396E-11 -1.6314E-14   3.3890E-06 -2.1735E-09
   289      3.1811E-07   4.3253E-11 -1.6811E-14   3.4231E-06 -2.2174E-09
   290      3.2131E-07   4.4127E-11 -1.7323E-14   3.4575E-06 -2.2622E-09
   291      3.2454E-07   4.5018E-11 -1.7851E-14   3.4922E-06 -2.3079E-09
   292      3.2780E-07   4.5928E-11 -1.8394E-14   3.5273E-06 -2.3545E-09
   293      3.3109E-07   4.6855E-11 -1.8955E-14   3.5628E-06 -2.4021E-09
   294      3.3442E-07   4.7802E-11 -1.9532E-14   3.5986E-06 -2.4506E-09
   295      3.3778E-07   4.8768E-11 -2.0127E-14   3.6348E-06 -2.5001E-09
   296      3.4118E-07   4.9753E-11 -2.0740E-14   3.6713E-06 -2.5506E-09
   297      3.4461E-07   5.0758E-11 -2.1371E-14   3.7082E-06 -2.6022E-09
   298      3.4807E-07   5.1783E-11 -2.2022E-14   3.7455E-06 -2.6547E-09
   299      3.5157E-07   5.2829E-11 -2.2693E-14   3.7831E-06 -2.7084E-09
   300      3.5510E-07   5.3896E-11 -2.3384E-14   3.8211E-06 -2.7631E-09
   301      3.5867E-07   5.4985E-11 -2.4096E-14   3.8595E-06 -2.8189E-09
   302      3.6227E-07   5.6096E-11 -2.4830E-14   3.8983E-06 -2.8758E-09
   303      3.6592E-07   5.7229E-11 -2.5586E-14   3.9375E-06 -2.9339E-09
   304      3.6959E-07   5.8385E-11 -2.6365E-14   3.9771E-06 -2.9932E-09
   305      3.7331E-07   5.9565E-11 -2.7168E-14   4.0170E-06 -3.0537E-09
   306      3.7706E-07   6.0768E-11 -2.7996E-14   4.0574E-06 -3.1154E-09
   307      3.8085E-07   6.1996E-11 -2.8848E-14   4.0982E-06 -3.1783E-09
   308      3.8468E-07   6.3248E-11 -2.9727E-14   4.1394E-06 -3.2425E-09
   309      3.8854E-07   6.4526E-11 -3.0632E-14   4.1810E-06 -3.3080E-09
   310      3.9245E-07   6.5829E-11 -3.1565E-14   4.2230E-06 -3.3748E-09
