    59      1.7860E-07   1.1072E-05 -1.2387E-09   2.6058E-06 -2.9156E-10   7.1485E-12  5.5759E-08   8.9757E-13 -6.0257E-17
    60      1.8040E-07   1.1184E-05 -1.2638E-09   2.6320E-06 -2.9745E-10   7.2929E-12  5.6319E-08   9.1570E-13 -6.2092E-17
    61      1.8221E-07   1.1296E-05 -1.2893E-09   2.6585E-06 -3.0346E-10   7.4402E-12  5.6885E-08   9.3420E-13 -6.3983E-17
    62      1.8404E-07   1.1410E-05 -1.3153E-09   2.6852E-06 -3.0959E-10   7.5905E-12  5.7457E-08   9.5307E-13 -6.5932E-17
    63      1.8589E-07   1.1524E-05 -1.3419E-09   2.7122E-06 -3.1585E-10   7.7438E-12  5.8034E-08   9.7232E-13 -6.7940E-17
    64      1.8776E-07   1.1640E-05 -1.3690E-09   2.7394E-06 -3.2223E-10   7.9003E-12  5.8617E-08   9.9196E-13 -7.0009E-17
    65      1.8965E-07   1.1757E-05 -1.3967E-09   2.7669E-06 -3.2874E-10   8.0599E-12  5.9206E-08   1.0120E-12 -7.2141E-17
    66      1.9155E-07   1.1875E-05 -1.4249E-09   2.7948E-06 -3.3538E-10   8.2227E-12  5.9801E-08   1.0324E-12 -7.4338E-17
    67      1.9348E-07   1.1994E-05 -1.4537E-09   2.8228E-06 -3.4215E-10   8.3888E-12  6.0402E-08   1.0533E-12 -7.6602E-17
    68      1.9542E-07   1.2115E-05 -1.4830E-09   2.8512E-06 -3.4906E-10   8.5582E-12  6.1010E-08   1.0746E-12 -7.8934E-17
    69      1.9739E-07   1.2237E-05 -1.5130E-09   2.8799E-06 -3.5611E-10   8.7311E-12  6.1623E-08   1.0963E-12 -8.1338E-17
    70      1.9937E-07   1.2360E-05 -1.5436E-09   2.9088E-06 -3.6331E-10   8.9075E-12  6.2242E-08   1.1184E-12 -8.3815E-17
    71      2.0138E-07   1.2484E-05 -1.5747E-09   2.9380E-06 -3.7065E-10   9.0875E-12  6.2868E-08   1.1410E-12 -8.6368E-17
    72      2.0340E-07   1.2609E-05 -1.6066E-09   2.9676E-06 -3.7814E-10   9.2710E-12  6.3499E-08   1.1641E-12 -8.8998E-17
    73      2.0544E-07   1.2736E-05 -1.6390E-09   2.9974E-06 -3.8577E-10   9.4583E-12  6.4138E-08   1.1876E-12 -9.1709E-17
    74      2.0751E-07   1.2864E-05 -1.6721E-09   3.0275E-06 -3.9357E-10   9.6494E-12  6.4782E-08   1.2116E-12 -9.4502E-17
    75      2.0959E-07   1.2993E-05 -1.7059E-09   3.0579E-06 -4.0152E-10   9.8443E-12  6.5433E-08   1.2361E-12 -9.7380E-17
    76      2.1170E-07   1.3124E-05 -1.7404E-09   3.0887E-06 -4.0963E-10   1.0043E-11  6.6091E-08   1.2610E-12 -1.0035E-16
    77      2.1383E-07   1.3256E-05 -1.7755E-09   3.1197E-06 -4.1790E-10   1.0246E-11  6.6755E-08   1.2865E-12 -1.0340E-16
    78      2.1598E-07   1.3389E-05 -1.8114E-09   3.1511E-06 -4.2635E-10   1.0453E-11  6.7426E-08   1.3125E-12 -1.0655E-16
    79      2.1815E-07   1.3524E-05 -1.8480E-09   3.1827E-06 -4.3496E-10   1.0664E-11  6.8104E-08   1.3390E-12 -1.0980E-16
    80      2.2034E-07   1.3660E-05 -1.8853E-09   3.2147E-06 -4.4375E-10   1.0880E-11  6.8788E-08   1.3661E-12 -1.1314E-16
    81      2.2255E-07   1.3797E-05 -1.9234E-09   3.2470E-06 -4.5271E-10   1.1099E-11  6.9479E-08   1.3937E-12 -1.1658E-16
    82      2.2479E-07   1.3936E-05 -1.9622E-09   3.2797E-06 -4.6186E-10   1.1324E-11  7.0178E-08   1.4218E-12 -1.2013E-16
    83      2.2705E-07   1.4076E-05 -2.0019E-09   3.3126E-06 -4.7119E-10   1.1552E-11  7.0883E-08   1.4505E-12 -1.2379E-16
    84      2.2933E-07   1.4217E-05 -2.0423E-09   3.3459E-06 -4.8070E-10   1.1786E-11  7.1595E-08   1.4798E-12 -1.2756E-16
    85      2.3164E-07   1.4360E-05 -2.0836E-09   3.3796E-06 -4.9041E-10   1.2024E-11  7.2315E-08   1.5097E-12 -1.3145E-16
    86      2.3396E-07   1.4504E-05 -2.1257E-09   3.4135E-06 -5.0032E-10   1.2267E-11  7.3042E-08   1.5402E-12 -1.3545E-16
    87      2.3632E-07   1.4650E-05 -2.1686E-09   3.4478E-06 -5.1043E-10   1.2515E-11  7.3776E-08   1.5713E-12 -1.3958E-16
    88      2.3869E-07   1.4797E-05 -2.2124E-09   3.4825E-06 -5.2074E-10   1.2767E-11  7.4517E-08   1.6031E-12 -1.4383E-16
    89      2.4109E-07   1.4946E-05 -2.2571E-09   3.5175E-06 -5.3126E-10   1.3025E-11  7.5266E-08   1.6355E-12 -1.4821E-16
    90      2.4351E-07   1.5096E-05 -2.3027E-09   3.5528E-06 -5.4199E-10   1.3288E-11  7.6023E-08   1.6685E-12 -1.5272E-16
    91      2.4596E-07   1.5248E-05 -2.3492E-09   3.5885E-06 -5.5294E-10   1.3557E-11  7.6787E-08   1.7022E-12 -1.5737E-16
