#                            P           Q            P           Q            P           Q
#                R                5p-                      5p                       6s 
   121      5.9288E-08  4.9465E-11  3.9214E-07   1.5716E-12 -1.1384E-16   8.2942E-07 -1.0014E-10
   122      5.9884E-08  5.0465E-11  3.9608E-07   1.6033E-12 -1.1731E-16   8.3775E-07 -1.0216E-10
   123      6.0485E-08  5.1484E-11  4.0006E-07   1.6357E-12 -1.2088E-16   8.4617E-07 -1.0422E-10
   124      6.1093E-08  5.2524E-11  4.0408E-07   1.6688E-12 -1.2457E-16   8.5468E-07 -1.0633E-10
   125      6.1707E-08  5.3585E-11  4.0815E-07   1.7025E-12 -1.2836E-16   8.6327E-07 -1.0848E-10
   126      6.2328E-08  5.4668E-11  4.1225E-07   1.7369E-12 -1.3227E-16   8.7194E-07 -1.1067E-10
   127      6.2954E-08  5.5772E-11  4.1639E-07   1.7720E-12 -1.3630E-16   8.8070E-07 -1.1290E-10
   128      6.3587E-08  5.6899E-11  4.2058E-07   1.8078E-12 -1.4045E-16   8.8956E-07 -1.1518E-10
   129      6.4226E-08  5.8048E-11  4.2480E-07   1.8443E-12 -1.4472E-16   8.9850E-07 -1.1751E-10
   130      6.4871E-08  5.9221E-11  4.2907E-07   1.8815E-12 -1.4913E-16   9.0753E-07 -1.1988E-10
   131      6.5523E-08  6.0417E-11  4.3338E-07   1.9195E-12 -1.5367E-16   9.1665E-07 -1.2231E-10
   132      6.6182E-08  6.1638E-11  4.3774E-07   1.9583E-12 -1.5835E-16   9.2586E-07 -1.2478E-10
   133      6.6847E-08  6.2883E-11  4.4214E-07   1.9979E-12 -1.6318E-16   9.3516E-07 -1.2730E-10
   134      6.7519E-08  6.4153E-11  4.4658E-07   2.0382E-12 -1.6815E-16   9.4456E-07 -1.2987E-10
   135      6.8197E-08  6.5449E-11  4.5107E-07   2.0794E-12 -1.7327E-16   9.5406E-07 -1.3249E-10
   136      6.8883E-08  6.6771E-11  4.5560E-07   2.1214E-12 -1.7854E-16   9.6364E-07 -1.3517E-10
   137      6.9575E-08  6.8120E-11  4.6018E-07   2.1643E-12 -1.8398E-16   9.7333E-07 -1.3790E-10
   138      7.0274E-08  6.9496E-11  4.6481E-07   2.2080E-12 -1.8958E-16   9.8311E-07 -1.4069E-10
   139      7.0980E-08  7.0900E-11  4.6948E-07   2.2526E-12 -1.9536E-16   9.9299E-07 -1.4353E-10
   140      7.1694E-08  7.2333E-11  4.7420E-07   2.2981E-12 -2.0131E-16   1.0030E-06 -1.4643E-10
   141      7.2414E-08  7.3794E-11  4.7896E-07   2.3445E-12 -2.0744E-16   1.0131E-06 -1.4939E-10
   142      7.3142E-08  7.5285E-11  4.8378E-07   2.3919E-12 -2.1375E-16   1.0232E-06 -1.5240E-10
   143      7.3877E-08  7.6805E-11  4.8864E-07   2.4402E-12 -2.2026E-16   1.0335E-06 -1.5548E-10
   144      7.4620E-08  7.8357E-11  4.9355E-07   2.4895E-12 -2.2697E-16   1.0439E-06 -1.5862E-10
   145      7.5370E-08  7.9940E-11  4.9851E-07   2.5398E-12 -2.3388E-16   1.0544E-06 -1.6183E-10
   146      7.6127E-08  8.1555E-11  5.0352E-07   2.5911E-12 -2.4101E-16   1.0650E-06 -1.6510E-10
   147      7.6892E-08  8.3202E-11  5.0858E-07   2.6435E-12 -2.4835E-16   1.0757E-06 -1.6843E-10
   148      7.7665E-08  8.4883E-11  5.1369E-07   2.6969E-12 -2.5591E-16   1.0865E-06 -1.7183E-10
   149      7.8445E-08  8.6598E-11  5.1885E-07   2.7513E-12 -2.6370E-16   1.0974E-06 -1.7531E-10
   150      7.9234E-08  8.8347E-11  5.2407E-07   2.8069E-12 -2.7174E-16   1.1085E-06 -1.7885E-10
   151      8.0030E-08  9.0132E-11  5.2934E-07   2.8636E-12 -2.8001E-16   1.1196E-06 -1.8246E-10
   152      8.0834E-08  9.1953E-11  5.3466E-07   2.9215E-12 -2.8854E-16   1.1308E-06 -1.8615E-10
   153      8.1647E-08  9.3810E-11  5.4003E-07   2.9805E-12 -2.9733E-16   1.1422E-06 -1.8991E-10
   154      8.2467E-08  9.5705E-11  5.4546E-07   3.0407E-12 -3.0638E-16   1.1537E-06 -1.9374E-10
   155      8.3296E-08  9.7639E-11  5.5094E-07   3.1021E-12 -3.1571E-16   1.1653E-06 -1.9766E-10
   156      8.4133E-08  9.9611E-11  5.5648E-07   3.1648E-12 -3.2533E-16   1.1770E-06 -2.0165E-10
   157      8.4979E-08  1.0162E-10  5.6207E-07   3.2287E-12 -3.3523E-16   1.1888E-06 -2.0572E-10
   158      8.5833E-08  1.0368E-10  5.6772E-07   3.2939E-12 -3.4544E-16   1.2008E-06 -2.0988E-10
   159      8.6696E-08  1.0577E-10  5.7342E-07   3.3605E-12 -3.5596E-16   1.2128E-06 -2.1412E-10
   160      8.7567E-08  1.0791E-10  5.7919E-07   3.4284E-12 -3.6680E-16   1.2250E-06 -2.1844E-10
   161      8.8447E-08  1.1009E-10  5.8501E-07   3.4976E-12 -3.7797E-16   1.2373E-06 -2.2286E-10
   162      8.9336E-08  1.1231E-10  5.9089E-07   3.5683E-12 -3.8949E-16   1.2498E-06 -2.2736E-10
   163      9.0234E-08  1.1458E-10  5.9683E-07   3.6404E-12 -4.0135E-16   1.2623E-06 -2.3195E-10
   164      9.1141E-08  1.1689E-10  6.0282E-07   3.7139E-12 -4.1357E-16   1.2750E-06 -2.3664E-10
   165      9.2057E-08  1.1926E-10  6.0888E-07   3.7889E-12 -4.2617E-16   1.2878E-06 -2.4142E-10
   166      9.2982E-08  1.2167E-10  6.1500E-07   3.8655E-12 -4.3914E-16   1.3008E-06 -2.4629E-10
   167      9.3916E-08  1.2412E-10  6.2118E-07   3.9436E-12 -4.5252E-16   1.3139E-06 -2.5127E-10
   168      9.4860E-08  1.2663E-10  6.2743E-07   4.0232E-12 -4.6630E-16   1.3271E-06 -2.5635E-10
   169      9.5813E-08  1.2919E-10  6.3373E-07   4.1045E-12 -4.8050E-16   1.3404E-06 -2.6152E-10
   170      9.6776E-08  1.3180E-10  6.4010E-07   4.1874E-12 -4.9513E-16   1.3539E-06 -2.6681E-10
   171      9.7749E-08  1.3446E-10  6.4653E-07   4.2720E-12 -5.1021E-16   1.3675E-06 -2.7220E-10
   172      9.8731E-08  1.3718E-10  6.5303E-07   4.3583E-12 -5.2575E-16   1.3812E-06 -2.7770E-10
   173      9.9724E-08  1.3995E-10  6.5959E-07   4.4464E-12 -5.4176E-16   1.3951E-06 -2.8331E-10
   174      1.0073E-07  1.4278E-10  6.6622E-07   4.5362E-12 -5.5826E-16   1.4091E-06 -2.8903E-10
   175      1.0174E-07  1.4566E-10  6.7292E-07   4.6278E-12 -5.7526E-16   1.4233E-06 -2.9487E-10
   176      1.0276E-07  1.4860E-10  6.7968E-07   4.7213E-12 -5.9278E-16   1.4376E-06 -3.0082E-10
   177      1.0379E-07  1.5160E-10  6.8651E-07   4.8167E-12 -6.1084E-16   1.4520E-06 -3.0690E-10
   178      1.0484E-07  1.5467E-10  6.9341E-07   4.9140E-12 -6.2944E-16   1.4666E-06 -3.1310E-10
   179      1.0589E-07  1.5779E-10  7.0038E-07   5.0133E-12 -6.4861E-16   1.4814E-06 -3.1943E-10
   180      1.0695E-07  1.6098E-10  7.0742E-07   5.1145E-12 -6.6836E-16   1.4963E-06 -3.2588E-10
   181      1.0803E-07  1.6423E-10  7.1453E-07   5.2179E-12 -6.8871E-16   1.5113E-06 -3.3246E-10
   182      1.0912E-07  1.6755E-10  7.2171E-07   5.3233E-12 -7.0969E-16   1.5265E-06 -3.3918E-10
   183      1.1021E-07  1.7093E-10  7.2896E-07   5.4308E-12 -7.3130E-16   1.5418E-06 -3.4603E-10
   184      1.1132E-07  1.7439E-10  7.3629E-07   5.5405E-12 -7.5357E-16   1.5573E-06 -3.5302E-10
   185      1.1244E-07  1.7791E-10  7.4369E-07   5.6524E-12 -7.7652E-16   1.5730E-06 -3.6015E-10
   186      1.1357E-07  1.8150E-10  7.5116E-07   5.7666E-12 -8.0017E-16   1.5888E-06 -3.6743E-10
   187      1.1471E-07  1.8517E-10  7.5871E-07   5.8831E-12 -8.2454E-16   1.6047E-06 -3.7485E-10
   188      1.1586E-07  1.8891E-10  7.6634E-07   6.0020E-12 -8.4965E-16   1.6209E-06 -3.8242E-10
   189      1.1703E-07  1.9273E-10  7.7404E-07   6.1232E-12 -8.7553E-16   1.6372E-06 -3.9015E-10
   190      1.1820E-07  1.9662E-10  7.8182E-07   6.2469E-12 -9.0219E-16   1.6536E-06 -3.9803E-10
   191      1.1939E-07  2.0059E-10  7.8968E-07   6.3731E-12 -9.2967E-16   1.6702E-06 -4.0607E-10
