#                             P           Q            P           Q            P           Q
#                R                 6d-                      6d                       7s 
   154      5.2479E-08   1.9957E-17  2.2205E-13   4.8081E-19 -2.9880E-23   1.8739E-06 -2.7173E-10
   155      5.3007E-08   2.0565E-17  2.2654E-13   4.9545E-19 -3.1100E-23   1.8927E-06 -2.7722E-10
   156      5.3539E-08   2.1191E-17  2.3111E-13   5.1054E-19 -3.2369E-23   1.9118E-06 -2.8282E-10
   157      5.4078E-08   2.1836E-17  2.3578E-13   5.2609E-19 -3.3690E-23   1.9310E-06 -2.8853E-10
   158      5.4621E-08   2.2501E-17  2.4054E-13   5.4211E-19 -3.5065E-23   1.9504E-06 -2.9436E-10
   159      5.5170E-08   2.3187E-17  2.4540E-13   5.5862E-19 -3.6496E-23   1.9700E-06 -3.0030E-10
   160      5.5724E-08   2.3893E-17  2.5036E-13   5.7563E-19 -3.7985E-23   1.9898E-06 -3.0637E-10
   161      5.6284E-08   2.4620E-17  2.5542E-13   5.9316E-19 -3.9535E-23   2.0098E-06 -3.1256E-10
   162      5.6850E-08   2.5370E-17  2.6058E-13   6.1123E-19 -4.1149E-23   2.0300E-06 -3.1887E-10
   163      5.7421E-08   2.6143E-17  2.6584E-13   6.2984E-19 -4.2828E-23   2.0504E-06 -3.2532E-10
   164      5.7999E-08   2.6939E-17  2.7121E-13   6.4902E-19 -4.4576E-23   2.0710E-06 -3.3189E-10
   165      5.8581E-08   2.7759E-17  2.7669E-13   6.6879E-19 -4.6395E-23   2.0918E-06 -3.3859E-10
   166      5.9170E-08   2.8605E-17  2.8228E-13   6.8916E-19 -4.8289E-23   2.1128E-06 -3.4543E-10
   167      5.9765E-08   2.9476E-17  2.8798E-13   7.1015E-19 -5.0259E-23   2.1341E-06 -3.5241E-10
   168      6.0366E-08   3.0374E-17  2.9380E-13   7.3177E-19 -5.2311E-23   2.1555E-06 -3.5953E-10
   169      6.0972E-08   3.1299E-17  2.9974E-13   7.5406E-19 -5.4445E-23   2.1772E-06 -3.6679E-10
   170      6.1585E-08   3.2252E-17  3.0579E-13   7.7702E-19 -5.6667E-23   2.1990E-06 -3.7420E-10
   171      6.2204E-08   3.3234E-17  3.1197E-13   8.0069E-19 -5.8980E-23   2.2211E-06 -3.8176E-10
   172      6.2829E-08   3.4246E-17  3.1827E-13   8.2507E-19 -6.1387E-23   2.2435E-06 -3.8947E-10
   173      6.3461E-08   3.5289E-17  3.2470E-13   8.5020E-19 -6.3892E-23   2.2660E-06 -3.9734E-10
   174      6.4098E-08   3.6364E-17  3.3126E-13   8.7609E-19 -6.6500E-23   2.2888E-06 -4.0537E-10
   175      6.4743E-08   3.7471E-17  3.3795E-13   9.0277E-19 -6.9214E-23   2.3118E-06 -4.1356E-10
   176      6.5393E-08   3.8612E-17  3.4478E-13   9.3027E-19 -7.2038E-23   2.3350E-06 -4.2191E-10
   177      6.6050E-08   3.9788E-17  3.5174E-13   9.5860E-19 -7.4978E-23   2.3585E-06 -4.3043E-10
   178      6.6714E-08   4.1000E-17  3.5885E-13   9.8779E-19 -7.8038E-23   2.3822E-06 -4.3913E-10
   179      6.7385E-08   4.2249E-17  3.6610E-13   1.0179E-18 -8.1223E-23   2.4061E-06 -4.4800E-10
   180      6.8062E-08   4.3535E-17  3.7349E-13   1.0489E-18 -8.4538E-23   2.4303E-06 -4.5705E-10
   181      6.8746E-08   4.4861E-17  3.8104E-13   1.0808E-18 -8.7988E-23   2.4547E-06 -4.6628E-10
   182      6.9437E-08   4.6227E-17  3.8874E-13   1.1137E-18 -9.1579E-23   2.4794E-06 -4.7570E-10
   183      7.0135E-08   4.7635E-17  3.9659E-13   1.1476E-18 -9.5316E-23   2.5043E-06 -4.8531E-10
   184      7.0840E-08   4.9086E-17  4.0460E-13   1.1826E-18 -9.9206E-23   2.5295E-06 -4.9512E-10
   185      7.1552E-08   5.0581E-17  4.1278E-13   1.2186E-18 -1.0325E-22   2.5549E-06 -5.0512E-10
   186      7.2271E-08   5.2121E-17  4.2111E-13   1.2557E-18 -1.0747E-22   2.5806E-06 -5.1532E-10
   187      7.2997E-08   5.3708E-17  4.2962E-13   1.2940E-18 -1.1185E-22   2.6065E-06 -5.2573E-10
   188      7.3731E-08   5.5344E-17  4.3830E-13   1.3334E-18 -1.1642E-22   2.6327E-06 -5.3635E-10
   189      7.4472E-08   5.7030E-17  4.4715E-13   1.3740E-18 -1.2117E-22   2.6592E-06 -5.4719E-10
   190      7.5220E-08   5.8766E-17  4.5619E-13   1.4158E-18 -1.2612E-22   2.6859E-06 -5.5824E-10
   191      7.5976E-08   6.0556E-17  4.6540E-13   1.4589E-18 -1.3126E-22   2.7129E-06 -5.6952E-10
   192      7.6740E-08   6.2400E-17  4.7481E-13   1.5034E-18 -1.3662E-22   2.7402E-06 -5.8103E-10
   193      7.7511E-08   6.4301E-17  4.8440E-13   1.5492E-18 -1.4219E-22   2.7677E-06 -5.9276E-10
   194      7.8290E-08   6.6259E-17  4.9418E-13   1.5963E-18 -1.4800E-22   2.7955E-06 -6.0474E-10
   195      7.9077E-08   6.8277E-17  5.0417E-13   1.6450E-18 -1.5404E-22   2.8236E-06 -6.1695E-10
   196      7.9871E-08   7.0356E-17  5.1435E-13   1.6951E-18 -1.6032E-22   2.8520E-06 -6.2942E-10
   197      8.0674E-08   7.2499E-17  5.2474E-13   1.7467E-18 -1.6687E-22   2.8807E-06 -6.4213E-10
   198      8.1485E-08   7.4707E-17  5.3534E-13   1.7999E-18 -1.7368E-22   2.9096E-06 -6.5510E-10
   199      8.2304E-08   7.6982E-17  5.4616E-13   1.8547E-18 -1.8077E-22   2.9389E-06 -6.6834E-10
   200      8.3131E-08   7.9326E-17  5.5719E-13   1.9112E-18 -1.8814E-22   2.9684E-06 -6.8184E-10
   201      8.3967E-08   8.1742E-17  5.6844E-13   1.9694E-18 -1.9582E-22   2.9982E-06 -6.9561E-10
   202      8.4810E-08   8.4232E-17  5.7993E-13   2.0293E-18 -2.0381E-22   3.0284E-06 -7.0967E-10
   203      8.5663E-08   8.6797E-17  5.9164E-13   2.0912E-18 -2.1213E-22   3.0588E-06 -7.2400E-10
   204      8.6524E-08   8.9440E-17  6.0360E-13   2.1548E-18 -2.2079E-22   3.0895E-06 -7.3863E-10
   205      8.7393E-08   9.2164E-17  6.1579E-13   2.2205E-18 -2.2980E-22   3.1206E-06 -7.5355E-10
   206      8.8272E-08   9.4971E-17  6.2823E-13   2.2881E-18 -2.3918E-22   3.1520E-06 -7.6877E-10
   207      8.9159E-08   9.7863E-17  6.4092E-13   2.3578E-18 -2.4894E-22   3.1836E-06 -7.8430E-10
   208      9.0055E-08   1.0084E-16  6.5387E-13   2.4296E-18 -2.5910E-22   3.2156E-06 -8.0015E-10
   209      9.0960E-08   1.0391E-16  6.6708E-13   2.5036E-18 -2.6967E-22   3.2479E-06 -8.1631E-10
   210      9.1874E-08   1.0708E-16  6.8055E-13   2.5798E-18 -2.8068E-22   3.2806E-06 -8.3280E-10
   211      9.2797E-08   1.1034E-16  6.9430E-13   2.6584E-18 -2.9213E-22   3.3136E-06 -8.4962E-10
